epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,589.399,0.60669,0.35457,0.89781,0.92601,0.88992,0.96245,0.78954,0.29587,0.19965,0.79836,0.00029225,0.00029225,0.00029225
71,606.991,0.45852,0.27948,0.84605,0.9306,0.87994,0.96224,0.78662,0.29927,0.20082,0.79752,0.0002675,0.0002675,0.0002675
72,615.175,0.43734,0.27038,0.83989,0.92053,0.89854,0.96259,0.78749,0.27989,0.19431,0.79416,0.00024275,0.00024275,0.00024275
73,623.475,0.45991,0.28056,0.84566,0.92803,0.88622,0.96337,0.78668,0.31654,0.20387,0.79832,0.000218,0.000218,0.000218
74,631.74,0.43744,0.26824,0.83137,0.93015,0.87564,0.96096,0.78852,0.26204,0.18943,0.79226,0.00019325,0.00019325,0.00019325
75,640.037,0.4446,0.27068,0.83384,0.92618,0.88985,0.9639,0.78988,0.25278,0.18453,0.79013,0.0001685,0.0001685,0.0001685
76,648.286,0.40405,0.24917,0.82557,0.92903,0.88976,0.96316,0.78813,0.26754,0.18588,0.79065,0.00014375,0.00014375,0.00014375
77,657.051,0.43316,0.2644,0.82923,0.92775,0.89178,0.96231,0.79019,0.25215,0.18445,0.78991,0.000119,0.000119,0.000119
78,665.808,0.43316,0.26339,0.83828,0.92163,0.901,0.96465,0.79331,0.26175,0.18733,0.79161,9.425e-05,9.425e-05,9.425e-05
79,674.655,0.41606,0.25169,0.8365,0.92208,0.90248,0.96599,0.79276,0.27282,0.18719,0.79189,6.95e-05,6.95e-05,6.95e-05
80,683.316,0.43243,0.26012,0.83215,0.92651,0.89693,0.9649,0.79111,0.2473,0.18084,0.78894,4.475e-05,4.475e-05,4.475e-05
